id,type,readonly,group,name
0,8,0,radiotest,channel
1,0,0,radiotest,power
2,8,0,radiotest,contwave
3,8,0,activeMarker,front
4,8,0,activeMarker,back
5,8,0,activeMarker,left
6,8,0,activeMarker,right
7,8,0,activeMarker,mode
8,8,0,activeMarker,poll
9,8,1,deck,bcActiveMarker
10,8,1,deck,bcAI
11,8,1,deck,bcBuzzer
12,8,1,deck,bcFlow
13,8,1,deck,bcFlow2
14,8,1,deck,bcLedRing
15,8,1,deck,bcLighthouse4
16,8,1,deck,bcDWM1000
17,8,1,deck,bcLoco
18,8,1,deck,bcMultiranger
19,8,1,deck,bcOA
20,8,1,deck,bcUSD
21,8,1,deck,bcZRanger
22,8,1,deck,bcZRanger2
23,8,1,deck,bcColorLedBot
24,8,1,deck,bcColorLedTop
25,8,0,motion,disable
26,8,0,motion,adaptive
27,6,0,motion,flowStdFixed
28,8,0,ring,effect
29,10,1,ring,neffect
30,8,0,ring,solidRed
31,8,0,ring,solidGreen
32,8,0,ring,solidBlue
33,8,0,ring,headlightEnable
34,6,0,ring,emptyCharge
35,6,0,ring,fullCharge
36,10,0,ring,fadeColor
37,6,0,ring,fadeTime
38,8,0,system,highlight
39,8,0,system,storageStats
40,8,0,system,storageReformat
41,8,0,system,taskDump
42,0,1,system,selftestPassed
43,8,0,system,assertInfo
44,8,0,system,testLogParam
45,8,0,system,doAssert
46,8,0,loco,mode
47,6,0,tdoa2,stddev
48,6,0,tdoa3,stddev
49,9,0,multiranger,filterMask
50,8,1,usd,canLog
51,8,0,usd,logging
52,10,0,colorLedBot,wrgb8888
53,8,0,colorLedBot,brightCorr
54,10,0,colorLedTop,wrgb8888
55,8,0,colorLedTop,brightCorr
56,8,1,deckTest,bcColorLedBot
57,8,1,deckTest,bcColorLedTop
58,8,0,led,bitmask
59,8,0,motorPowerSet,enable
60,9,0,motorPowerSet,m1
61,9,0,motorPowerSet,m2
62,9,0,motorPowerSet,m3
63,9,0,motorPowerSet,m4
64,6,0,pm,lowVoltage
65,6,0,pm,criticalLowVoltage
66,8,1,imu_sensors,BMP3XX
67,6,0,imu_sensors,imuPhi
68,6,0,imu_sensors,imuTheta
69,6,0,imu_sensors,imuPsi
70,8,0,syslink,probe
71,8,0,usec,reset
72,8,0,colAv,enable
73,6,0,colAv,ellipsoidX
74,6,0,colAv,ellipsoidY
75,6,0,colAv,ellipsoidZ
76,6,0,colAv,bboxMinX
77,6,0,colAv,bboxMinY
78,6,0,colAv,bboxMinZ
79,6,0,colAv,bboxMaxX
80,6,0,colAv,bboxMaxY
81,6,0,colAv,bboxMaxZ
82,6,0,colAv,horizon
83,6,0,colAv,maxSpeed
84,6,0,colAv,sidestepThrsh
85,2,0,colAv,maxPeerLocAge
86,6,0,colAv,vorTol
87,2,0,colAv,vorIters
88,8,0,commander,enHighLevel
89,6,0,cppm,rateRoll
90,6,0,cppm,ratePitch
91,6,0,cppm,angPitch
92,6,0,cppm,angRoll
93,6,0,cppm,rateYaw
94,6,0,hlCommander,vtoff
95,6,0,hlCommander,vland
96,8,0,hlCommander,groupmask
97,8,0,flightmode,althold
98,8,0,flightmode,poshold
99,8,0,flightmode,posSet
100,8,0,flightmode,yawMode
101,8,0,flightmode,stabModeRoll
102,8,0,flightmode,stabModePitch
103,8,0,flightmode,stabModeYaw
104,8,0,locSrv,enRangeStreamFP32
105,8,0,locSrv,enLhAngleStream
106,8,0,locSrv,enLhMtchStm
107,8,0,locSrv,maxTimeLhMtchStm
108,8,0,locSrv,minBsLhMtchStm
109,6,0,locSrv,extPosStdDev
110,6,0,locSrv,extQuatStdDev
111,9,0,crtpsrv,echoDelay
112,8,0,health,startPropTest
113,8,0,health,startBatTest
114,6,0,health,propTestThreshold
115,9,0,health,propTestPWMRatio
116,9,0,health,batTestPWMRatio
117,6,0,kalman,maxPos
118,6,0,kalman,maxVel
119,8,0,kalman,useCompAttOut
120,8,0,kalman,slaveAttToComp
121,6,0,kalman,compKp
122,6,0,kalman,compKi
123,6,0,kalman,compPitchBias
124,8,0,kalman,resetEstimation
125,8,0,kalman,robustTdoa
126,8,0,kalman,robustTwr
127,6,0,kalman,pNAcc_xy
128,6,0,kalman,pNAcc_z
129,6,0,kalman,pNVel
130,6,0,kalman,pNPos
131,6,0,kalman,pNAtt
132,6,0,kalman,mNBaro
133,6,0,kalman,mNGyro_rollpitch
134,6,0,kalman,mNGyro_yaw
135,6,0,kalman,initialX
136,6,0,kalman,initialY
137,6,0,kalman,initialZ
138,6,0,kalman,initialYaw
139,6,0,su_wrench,Kf
140,6,0,su_wrench,Ktau
141,6,0,su_wrench,deadzone_F
142,6,0,su_wrench,deadzone_T
143,6,0,su_wrench,voltage_model_a
144,6,0,su_wrench,voltage_model_b
145,6,0,su_wrench,vbat_alpha
146,6,0,su_wrench,dt_alpha
147,6,0,su_wrench,mob_alpha
148,8,0,su_wrench,zeroBias
149,6,0,su_wrench,cmd_fx
150,6,0,su_wrench,dob_wn
151,6,0,su_wrench,dob_zeta
152,10,0,led_deck_ctrl,rgb888
153,8,0,memTst,resetW
154,10,0,powerDist,idleThrust
155,6,0,sensfusion6,kp
156,6,0,sensfusion6,ki
157,6,0,sensfusion6,baseZacc
158,8,0,sound,effect
159,10,1,sound,neffect
160,9,0,sound,freq
161,8,0,stabilizer,estimator
162,8,0,stabilizer,controller
163,8,0,stabilizer,stop
164,8,0,supervisor,infdmp
165,9,0,supervisor,prefltTimeout
166,9,0,supervisor,landedTimeout
167,8,0,supervisor,tmblChckEn
168,9,1,cpu,flash
169,10,1,cpu,id0
170,10,1,cpu,id1
171,10,1,cpu,id2
172,8,0,tdoaEngine,logId
173,8,0,tdoaEngine,logOthrId
174,8,0,tdoaEngine,matchAlgo
175,8,0,lighthouse,method
176,8,0,lighthouse,bsCalibReset
177,8,0,lighthouse,systemType
178,9,1,lighthouse,bsAvailable
179,6,0,lighthouse,sweepStd
180,6,0,lighthouse,sweepStd2
181,8,0,lighthouse,enLhRawStream
182,9,0,lighthouse,lh2maxRate
183,6,0,pid_attitude,roll_kp
184,6,0,pid_attitude,roll_ki
185,6,0,pid_attitude,roll_kd
186,6,0,pid_attitude,roll_kff
187,6,0,pid_attitude,pitch_kp
188,6,0,pid_attitude,pitch_ki
189,6,0,pid_attitude,pitch_kd
190,6,0,pid_attitude,pitch_kff
191,6,0,pid_attitude,yaw_kp
192,6,0,pid_attitude,yaw_ki
193,6,0,pid_attitude,yaw_kd
194,6,0,pid_attitude,yaw_kff
195,6,0,pid_attitude,yawMaxDelta
196,0,0,pid_attitude,attFiltEn
197,6,0,pid_attitude,attFiltCut
198,6,0,pid_rate,roll_kp
199,6,0,pid_rate,roll_ki
200,6,0,pid_rate,roll_kd
201,6,0,pid_rate,roll_kff
202,6,0,pid_rate,pitch_kp
203,6,0,pid_rate,pitch_ki
204,6,0,pid_rate,pitch_kd
205,6,0,pid_rate,pitch_kff
206,6,0,pid_rate,yaw_kp
207,6,0,pid_rate,yaw_ki
208,6,0,pid_rate,yaw_kd
209,6,0,pid_rate,yaw_kff
210,0,0,pid_rate,rateFiltEn
211,6,0,pid_rate,omxFiltCut
212,6,0,pid_rate,omyFiltCut
213,6,0,pid_rate,omzFiltCut
214,6,0,ctrlINDI,thrust_threshold
215,6,0,ctrlINDI,bound_ctrl_input
216,6,0,ctrlINDI,g1_p
217,6,0,ctrlINDI,g1_q
218,6,0,ctrlINDI,g1_r
219,6,0,ctrlINDI,g2
220,6,0,ctrlINDI,ref_err_p
221,6,0,ctrlINDI,ref_err_q
222,6,0,ctrlINDI,ref_err_r
223,6,0,ctrlINDI,ref_rate_p
224,6,0,ctrlINDI,ref_rate_q
225,6,0,ctrlINDI,ref_rate_r
226,6,0,ctrlINDI,act_dyn_p
227,6,0,ctrlINDI,act_dyn_q
228,6,0,ctrlINDI,act_dyn_r
229,6,0,ctrlINDI,filt_cutoff
230,6,0,ctrlINDI,filt_cutoff_r
231,8,0,ctrlINDI,outerLoopActive
232,6,0,ctrlMel,kp_xy
233,6,0,ctrlMel,kd_xy
234,6,0,ctrlMel,ki_xy
235,6,0,ctrlMel,i_range_xy
236,6,0,ctrlMel,kp_z
237,6,0,ctrlMel,kd_z
238,6,0,ctrlMel,ki_z
239,6,0,ctrlMel,i_range_z
240,6,0,ctrlMel,mass
241,6,0,ctrlMel,massThrust
242,6,0,ctrlMel,kR_xy
243,6,0,ctrlMel,kR_z
244,6,0,ctrlMel,kw_xy
245,6,0,ctrlMel,kw_z
246,6,0,ctrlMel,ki_m_xy
247,6,0,ctrlMel,ki_m_z
248,6,0,ctrlMel,kd_omega_rp
249,6,0,ctrlMel,i_range_m_xy
250,6,0,ctrlMel,i_range_m_z
251,6,0,ctrlAtt,tau_xy
252,6,0,ctrlAtt,zeta_xy
253,6,0,ctrlAtt,tau_z
254,6,0,ctrlAtt,zeta_z
255,6,0,ctrlAtt,tau_rp
256,6,0,ctrlAtt,mixing_factor
257,6,0,ctrlAtt,coll_fairness
258,6,0,posCtrlIndi,K_xi_x
259,6,0,posCtrlIndi,K_xi_y
260,6,0,posCtrlIndi,K_xi_z
261,6,0,posCtrlIndi,K_dxi_x
262,6,0,posCtrlIndi,K_dxi_y
263,6,0,posCtrlIndi,K_dxi_z
264,6,0,posCtrlIndi,pq_clamping
265,6,0,posCtlPid,xKp
266,6,0,posCtlPid,xKi
267,6,0,posCtlPid,xKd
268,6,0,posCtlPid,xKff
269,6,0,posCtlPid,yKp
270,6,0,posCtlPid,yKi
271,6,0,posCtlPid,yKd
272,6,0,posCtlPid,yKff
273,6,0,posCtlPid,zKp
274,6,0,posCtlPid,zKi
275,6,0,posCtlPid,zKd
276,6,0,posCtlPid,zKff
277,9,0,posCtlPid,thrustBase
278,9,0,posCtlPid,thrustMin
279,6,0,posCtlPid,rLimit
280,6,0,posCtlPid,pLimit
281,6,0,posCtlPid,xVelMax
282,6,0,posCtlPid,yVelMax
283,6,0,posCtlPid,zVelMax
284,6,0,velCtlPid,vxKp
285,6,0,velCtlPid,vxKi
286,6,0,velCtlPid,vxKd
287,6,0,velCtlPid,vxKFF
288,6,0,velCtlPid,vyKp
289,6,0,velCtlPid,vyKi
290,6,0,velCtlPid,vyKd
291,6,0,velCtlPid,vyKFF
292,6,0,velCtlPid,vzKp
293,6,0,velCtlPid,vzKi
294,6,0,velCtlPid,vzKd
295,6,0,velCtlPid,vzKFF
296,6,0,ctrlLee,KR_x
297,6,0,ctrlLee,KR_y
298,6,0,ctrlLee,KR_z
299,6,0,ctrlLee,KI_x
300,6,0,ctrlLee,KI_y
301,6,0,ctrlLee,KI_z
302,6,0,ctrlLee,Kw_x
303,6,0,ctrlLee,Kw_y
304,6,0,ctrlLee,Kw_z
305,6,0,ctrlLee,J_x
306,6,0,ctrlLee,J_y
307,6,0,ctrlLee,J_z
308,6,0,ctrlLee,Kpos_Px
309,6,0,ctrlLee,Kpos_Py
310,6,0,ctrlLee,Kpos_Pz
311,6,0,ctrlLee,Kpos_P_limit
312,6,0,ctrlLee,Kpos_Dx
313,6,0,ctrlLee,Kpos_Dy
314,6,0,ctrlLee,Kpos_Dz
315,6,0,ctrlLee,Kpos_D_limit
316,6,0,ctrlLee,Kpos_Ix
317,6,0,ctrlLee,Kpos_Iy
318,6,0,ctrlLee,Kpos_Iz
319,6,0,ctrlLee,Kpos_I_limit
320,6,0,ctrlLee,mass
321,6,0,posEstAlt,estAlphaAsl
322,6,0,posEstAlt,estAlphaZr
323,6,0,posEstAlt,velFactor
324,6,0,posEstAlt,velZAlpha
325,6,0,posEstAlt,vAccDeadband
326,10,1,firmware,revision0
327,9,1,firmware,revision1
328,8,1,firmware,modified
